ID	 sex	CentSize	SF	IF	SP	IP	T	O	LOS	PCS	CS	SyF	STS	POS	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
53	1	410.6828263	31.41857546	22.37116168	14.88427221	23.46760013	30.39506392	11.54426914	7.589395523	8.159208558	20.75549537	18.39785427	30.70251072	17.90340868	0.01356	0.0006	0.01203	0.01068	-0.03856	0.00637	-0.01825	-0.00399	0.01202	-0.01716
54	2	382.3700427	30.40993178	21.26267451	15.60223777	25.04241439	31.80147587	12.00008332	5.588023167	7.938747013	20.42811984	18.57579418	28.23294799	17.74492343	-0.00939	-0.04241	0.01842	0.02154	-0.00723	0.00528	-0.00226	0.02224	-0.00593	-0.02545
55	1	412.5254776	30.50811902	21.27595571	16.03798965	24.45350505	30.53214755	10.42175732	5.393416325	7.178946476	21.37191389	17.49702947	28.62275368	16.21656822	-0.02977	-0.03413	0.01817	0.00092	-0.04483	0.00394	0.00207	0.02659	-0.00061	-0.00488
56	2	391.3914339	29.87801108	22.26274437	19.0583471	24.22967073	29.64391313	9.516676262	8.343960058	7.338598153	19.70182091	19.39718244	27.9118051	17.30630231	0.00407	0.00085	0.01748	0.02153	-0.01333	0.00528	-0.0049	-0.03152	-0.01445	-0.00746
57	2	381.0392812	29.84276528	22.90366576	17.62596633	22.86534229	30.17988053	11.42175945	6.679844231	9.147932247	20.93438662	19.26032397	30.0860834	18.72315988	-0.01694	0.00778	-0.00232	0.01681	-0.0251	0.01329	0.00418	-0.01139	-0.00481	-0.00245
58	2	385.6278723	30.59999176	23.11200506	16.74158599	23.08319927	31.51545338	9.236446401	6.021896835	7.444648022	19.38705258	19.97151686	30.5642298	17.82001696	0.0313	0.0001	-0.00401	0.03253	0.01025	-0.02682	0.00056	-0.00656	0.00724	0.0064
59	2	409.3956865	31.52097304	21.83247004	14.89161527	23.81876136	31.49335594	11.30074611	6.86499269	6.930486043	19.76472475	19.18789713	30.67072381	17.30844668	0.03399	-0.03197	0.01614	0.00628	0.01849	-0.01046	-0.00028	0.02024	0.00469	-0.0002
60	2	371.2246201	31.35398776	21.87308807	15.01649206	22.77113175	30.51539874	10.70349868	5.686496246	8.313936474	22.66505494	18.84798924	28.85924241	18.66507174	-0.02365	-0.02132	-0.02546	0.00144	-0.02228	0.01177	-0.01535	0.00417	0.01162	-0.00023
61	2	384.1791627	30.27508962	21.9177348	14.79779767	23.34360942	30.74586904	10.59371623	7.013047812	9.000534834	20.46071239	18.37722063	30.08200371	18.01791939	-0.00362	-0.02754	0.01403	0.01364	-0.01854	0.00723	-0.04747	0.00113	0.00263	-0.016
62	2	392.8346321	31.02536789	23.31051491	14.28989861	20.78203344	29.49851857	11.45143776	7.181767577	6.334478484	20.8536202	19.05262268	31.9788901	18.14885444	0.01173	-0.03334	-0.02977	0.02936	-0.02551	-0.014	0.01201	-0.01186	-0.00594	-0.00894
63	2	401.3694526	30.21656291	22.25394696	14.89455114	22.36391945	30.23746661	9.673714785	6.964667976	6.235755672	20.83805162	18.54136205	30.18984241	18.47526575	0.03881	-0.06007	-0.02656	-0.00141	-0.01009	0.01053	-0.00756	-0.01506	-0.00893	-0.00646
64	1	422.106644	30.19952831	22.40106577	15.38330888	23.05749393	30.40598003	12.60632025	7.732138879	6.11405717	20.12312896	18.55498218	31.13084301	19.3685736	0.03344	-0.00936	-0.00042	0.02978	-0.02564	0.02285	0.01336	-0.00845	-0.00133	0.0062
65	2	372.0021131	30.54412485	22.81084742	14.88927191	21.37922919	29.88540008	10.23519822	7.164187585	9.099710432	20.27196587	17.50380442	31.45268104	17.79388606	-0.00319	-0.06093	-0.00129	0.02244	-0.00223	-0.01395	-0.0154	0.00532	0.01681	-0.0137
